customer_id,gender,age,married,number_of_dependents,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_refunds,total_extra_data_charges,churn_value,cltv,streaming,log_total_long_distance_charges,log_total_revenue
0111-KLBQG,Male,71,1,1,9,32,Offer C,1,31.86,0,Fiber Optic,23,0,1,0,0,1,1,One Year,1,Mailed Check,93.95,0.0,0,0,2844,1,6.928067580294015,8.264098035723825
0112-QAWRZ,Male,49,1,2,8,16,Offer D,1,48.71,1,Fiber Optic,12,0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,90.8,0.0,0,0,5560,0,6.659755351669061,7.706414963649079
0112-QWPNC,Male,61,1,0,1,49,Offer B,1,39.55,1,Cable,10,1,0,1,1,1,1,One Year,0,Bank Withdrawal,84.35,0.0,0,1,6452,1,7.569901868422294,8.699231374730386
0114-IGABW,Female,40,1,0,2,71,Offer A,0,0.0,0,Cable,29,0,1,1,1,1,1,Two Year,0,Bank Withdrawal,58.25,0.0,0,0,5224,1,0.0,8.330116346138421
0114-PEGZZ,Female,39,0,0,0,33,no_offer,1,49.69,1,Fiber Optic,12,0,1,1,0,1,1,Month-to-Month,0,Bank Withdrawal,107.55,0.0,0,0,4800,1,7.402920922827003,8.572868172179872
0114-RSRRW,Female,21,1,0,9,10,Offer D,1,49.6,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.95,0.0,0,0,3831,0,6.208590026096629,6.529053808143187
0115-TFERT,Male,24,1,0,1,21,no_offer,1,36.26,1,Fiber Optic,59,0,1,1,1,1,0,Month-to-Month,1,Bank Withdrawal,111.2,0.0,120,1,4123,1,6.636550048089151,8.070768579333826
0117-LFRMW,Male,52,1,1,1,37,no_offer,0,0.0,0,DSL,23,1,1,1,0,0,1,Month-to-Month,0,Bank Withdrawal,40.2,0.0,0,1,3627,0,0.0,7.279180894866777
0118-JPNOY,Female,71,0,0,0,26,no_offer,1,33.74,0,Fiber Optic,7,1,0,0,0,1,1,Month-to-Month,1,Credit Card,85.8,0.0,0,0,5700,0,6.777919904801579,8.0300482863348
0121-SNYRK,Male,45,0,0,0,50,Offer B,0,0.0,0,DSL,7,1,0,0,1,0,1,One Year,1,Credit Card,35.4,0.0,0,0,5052,0,0.0,7.467313922427702
0122-OAHPZ,Female,29,0,0,0,7,no_offer,1,28.62,1,Fiber Optic,26,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.85,13.03,0,1,2473,0,5.304995021301277,6.550451565980991
0123-CRBRT,Female,62,1,0,1,61,Offer B,1,47.19,1,DSL,28,1,1,1,1,1,1,Two Year,0,Mailed Check,88.1,0.0,0,0,5152,1,7.965403201884576,9.03674146204664
0125-LZQXK,Male,42,0,0,0,15,Offer D,1,45.92,0,Fiber Optic,12,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,101.35,0.0,0,1,3025,1,6.536401700502741,7.715903852236589
0128-MKWSG,Female,51,0,2,0,26,no_offer,0,0.0,0,DSL,19,1,0,0,1,0,1,Month-to-Month,0,Credit Card,45.8,0.0,0,0,3287,1,0.0,7.045776576879511
0129-KPTWJ,Male,39,1,0,9,72,no_offer,1,33.22,0,Fiber Optic,23,0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,94.65,0.0,0,0,5943,1,7.780236223993132,9.120436451978303
0129-QMPDR,Male,64,1,0,1,44,no_offer,1,27.4,0,no_internet,0,0,0,0,0,0,0,One Year,1,Bank Withdrawal,20.5,0.0,0,0,3093,0,7.095561766006662,7.6361006701920475
0130-SXOUN,Male,55,0,0,0,66,Offer A,1,48.78,1,Fiber Optic,8,0,1,0,0,0,0,Month-to-Month,0,Credit Card,89.4,36.02,40,0,4889,1,8.077285695751858,9.12710657819889
0133-BMFZO,Female,40,0,0,0,2,no_offer,1,36.81,0,Fiber Optic,16,1,1,0,1,0,1,Month-to-Month,1,Bank Withdrawal,86.25,0.0,0,1,3529,0,4.312408567793012,5.546231576187458
0134-XWXCE,Female,76,0,0,0,44,no_offer,1,7.72,0,DSL,17,0,0,1,1,1,1,One Year,0,Bank Withdrawal,74.85,17.91,0,0,3253,1,5.83094362027288,8.186135867656484
0135-NMXAP,Female,57,0,0,0,12,Offer D,1,14.38,1,Fiber Optic,6,0,1,0,0,1,1,Month-to-Month,1,Bank Withdrawal,89.75,0.0,0,1,5671,0,5.15652336093015,7.111479489536497
0136-IFMYD,Male,71,1,0,1,69,no_offer,1,18.41,1,Fiber Optic,17,0,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.95,0.0,0,0,4297,0,7.147787411961166,9.094428833975064
0137-OCGAB,Female,25,0,0,0,1,Offer E,1,1.23,1,Fiber Optic,69,0,1,0,0,0,1,Month-to-Month,1,Mailed Check,80.2,0.0,0,1,3056,0,0.8020015854720274,4.411949448325136
0137-UDEUO,Female,24,0,0,0,3,Offer E,1,25.75,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,0.0,0,1,3398,0,4.359908829420263,4.955827057601261
0139-IVFJG,Female,19,1,0,10,2,no_offer,1,4.65,0,Fiber Optic,53,1,1,0,0,1,1,Month-to-Month,0,Bank Withdrawal,90.35,0.0,0,0,5361,0,2.33214389523559,5.302309387817574
0141-YEAYS,Female,77,0,0,0,27,no_offer,1,2.97,1,Fiber Optic,4,0,1,1,0,0,1,Two Year,1,Bank Withdrawal,86.45,0.0,0,0,5990,0,4.396792086874355,7.816916657302507
0142-GVYSN,Male,57,0,0,0,26,Offer C,1,13.34,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,20.3,0.0,0,0,5712,0,5.851742603932845,6.7558736894877995
0147-ESWWR,Female,73,1,0,9,39,no_offer,1,20.15,1,Fiber Optic,21,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,101.25,0.0,0,0,3172,1,6.668037633046874,8.462948176563842
0148-DCDOS,Male,41,0,0,0,25,no_offer,1,34.88,1,Fiber Optic,8,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,94.7,0.0,0,1,5641,1,6.771935555839602,8.08181511835832
0151-ONTOV,Female,43,0,0,0,1,Offer E,1,39.81,0,Fiber Optic,23,0,0,0,0,0,1,Month-to-Month,0,Mailed Check,70.9,0.0,0,1,4739,0,3.7089271494177143,4.715906227582757
0156-FVPTA,Male,48,1,0,1,22,Offer D,1,27.24,0,DSL,21,1,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,54.2,0.0,0,1,5102,0,6.397396213027789,7.4690724758430305
0164-APGRB,Female,56,0,0,0,72,Offer A,1,48.37,1,Fiber Optic,5,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,114.9,0.0,0,0,4589,1,8.155833003127217,9.39102225190111
0164-XAIRP,Female,51,0,0,0,24,no_offer,1,10.64,0,no_internet,0,0,0,0,0,0,0,Two Year,1,Bank Withdrawal,19.55,0.0,0,0,2511,0,5.546582706636026,6.588321067349641
0168-XZKBB,Female,34,1,0,8,19,no_offer,1,7.84,1,Fiber Optic,16,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,86.85,0.0,0,0,5072,0,5.010368591867711,7.446795112109296
0174-QRVVY,Male,21,1,2,2,71,no_offer,1,9.2,1,no_internet,0,0,0,0,0,0,0,Two Year,0,Credit Card,25.35,0.0,0,0,5747,0,6.483413115104283,7.824745765970565
0177-PXBAT,Male,78,1,0,7,33,no_offer,1,25.15,1,Fiber Optic,20,1,0,1,1,1,1,One Year,1,Bank Withdrawal,109.9,0.0,0,0,5655,0,6.7225696245735325,8.417516492226708
0178-CIIKR,Female,60,0,0,0,3,no_offer,1,2.69,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.95,0.0,0,0,5949,0,2.2049722641270453,4.205736850111646
0178-SZBHO,Male,54,1,1,7,47,no_offer,1,1.09,1,Fiber Optic,13,0,1,0,0,1,1,Month-to-Month,0,Bank Withdrawal,87.2,0.0,0,0,3760,0,3.955657042448207,8.311319651266981
0181-RITDD,Male,42,1,3,2,62,no_offer,1,1.76,0,Fiber Optic,20,1,1,1,1,1,1,Two Year,0,Credit Card,108.15,0.0,0,0,5298,1,4.701570680274407,8.84444735758761
0186-CAERR,Male,22,0,0,0,71,no_offer,1,2.88,1,Fiber Optic,48,1,1,1,1,1,1,One Year,1,Bank Withdrawal,116.3,0.0,0,0,4644,1,5.325348705599067,9.049588116284944
0187-QSXOE,Male,71,1,0,8,7,no_offer,1,41.97,0,Fiber Optic,11,0,0,0,0,1,1,Two Year,1,Bank Withdrawal,89.0,0.0,0,0,5711,1,5.686263238437263,6.802661394441742
0187-WZNAB,Female,56,1,2,6,27,Offer C,1,46.66,0,Fiber Optic,28,1,0,0,0,0,1,Month-to-Month,0,Credit Card,74.4,0.0,0,0,4331,0,7.139517581921962,8.081218359083499
0188-GWFLE,Male,33,0,0,0,2,no_offer,1,1.81,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.05,0.0,0,0,4978,0,1.5303947050936475,3.6459719531026598
0191-EQUUH,Female,32,0,3,0,25,Offer C,0,0.0,0,Cable,75,1,0,0,1,0,1,Two Year,0,Bank Withdrawal,35.05,0.0,0,0,2754,0,0.0,6.739869029984439
0191-ZHSKZ,Male,80,0,0,0,30,no_offer,1,38.61,0,DSL,5,1,1,0,0,1,1,One Year,1,Bank Withdrawal,74.75,0.0,0,0,3033,0,7.055571653676355,8.09272873329829
0193-ESZXP,Female,73,1,0,1,58,no_offer,1,16.94,0,Fiber Optic,19,1,1,0,1,1,1,One Year,1,Credit Card,105.5,0.0,0,1,5067,1,6.891137973158699,8.880310141008101
0195-IESCP,Male,26,1,0,1,10,Offer D,1,2.02,1,Fiber Optic,82,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,85.25,0.0,100,1,3573,1,3.054001181677967,6.8839747503167334
0196-JTUQI,Female,59,0,0,0,9,no_offer,1,9.27,1,Fiber Optic,28,0,0,0,0,0,1,Month-to-Month,1,Credit Card,75.2,0.0,0,0,5841,0,4.435922788681409,6.576859465173697
0196-VULGZ,Female,78,1,0,1,6,no_offer,1,28.71,1,Fiber Optic,17,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,84.35,0.0,0,1,5721,0,5.154793356461994,6.47413757945438
0197-PNKNK,Female,47,1,1,7,69,no_offer,1,38.92,1,Fiber Optic,16,1,0,1,0,0,0,One Year,0,Bank Withdrawal,84.45,0.0,40,0,5629,0,7.895987065510605,9.056615601436686
0201-MIBOL,Female,68,0,0,0,66,no_offer,1,10.45,1,Fiber Optic,20,1,0,0,0,1,1,Two Year,1,Bank Withdrawal,102.4,0.0,0,0,4861,1,6.537705576094927,8.876621341801421
0201-OAMXR,Female,30,0,0,0,70,Offer A,1,10.21,1,Fiber Optic,52,1,1,1,1,1,1,One Year,0,Credit Card,115.55,0.0,0,1,4838,1,6.573261084744552,9.087415389138819
0203-HHYIJ,Male,62,0,0,0,25,Offer C,1,5.57,1,no_internet,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.3,0.0,0,1,3779,0,4.943426544402806,6.7051493788854755
0206-OYVOC,Female,52,1,2,1,46,Offer B,1,24.33,0,no_internet,0,0,0,0,0,0,0,Two Year,1,Credit Card,19.25,0.0,0,0,5596,0,7.021244665661697,7.5930618017629214
0206-TBWLC,Female,63,1,0,7,54,Offer B,1,11.4,1,Fiber Optic,26,1,1,1,1,1,1,One Year,1,Credit Card,114.65,0.0,0,0,4488,1,6.42422051545205,8.804790260255313
0207-MDKNV,Female,54,0,0,0,15,no_offer,1,22.39,0,Fiber Optic,7,1,0,1,1,1,1,Month-to-Month,0,Bank Withdrawal,105.1,0.0,0,1,2122,1,5.819637727406669,7.559872109984091
0208-BPQEJ,Female,48,1,1,0,12,Offer D,1,8.25,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.4,0.0,0,0,3713,0,4.605170185988092,5.697429000684026
0212-ISBBF,Female,51,0,0,0,22,no_offer,0,0.0,0,Cable,22,0,1,0,0,1,1,Month-to-Month,1,Bank Withdrawal,50.35,0.0,0,0,2875,1,0.0,7.002929085851732
0214-JHPFW,Female,22,1,0,9,70,no_offer,0,0.0,0,Cable,85,0,1,1,1,1,1,Two Year,0,Bank Withdrawal,57.8,1.01,0,0,5640,1,0.0,8.303824212936403
0215-BQKGS,Male,52,0,0,0,30,Offer C,1,24.73,0,Fiber Optic,20,1,1,1,0,0,0,Month-to-Month,1,Credit Card,84.3,0.0,130,0,5393,0,6.61056144615776,8.105156537925033
0218-QNVAS,Male,22,1,1,1,71,Offer A,1,28.34,1,Fiber Optic,59,0,1,0,0,1,1,One Year,0,Bank Withdrawal,100.55,16.99,0,0,5876,1,7.607450971159846,9.117117013245348
0219-QAERP,Male,33,1,0,2,30,no_offer,1,9.81,0,no_internet,0,0,0,0,0,0,0,One Year,0,Credit Card,19.8,0.0,0,0,4006,0,5.687991788749877,6.770732082815469
0219-YTZUE,Male,26,1,0,5,4,Offer E,1,28.77,1,Fiber Optic,19,0,1,1,0,0,1,Month-to-Month,1,Bank Withdrawal,84.8,0.0,0,1,4939,0,4.754279608575932,6.1902744214067384
0220-EBGCE,Male,58,0,0,0,2,Offer E,1,14.14,0,Fiber Optic,28,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,85.85,0.0,0,1,3273,1,3.3769046890931107,5.2810694731384835
0221-NAUXK,Male,22,0,1,0,10,no_offer,1,7.86,0,no_internet,0,0,0,0,0,0,0,One Year,1,Bank Withdrawal,19.95,0.0,0,0,3044,0,4.377014092850337,5.700777965635902
